,epoch,mse_train,mse_test
61,61,0.038751494871114525,0.040151416421765306
62,62,0.03807979915964567,0.039478382553767344
63,63,0.03742227325240031,0.038823190488285364
64,64,0.03678467925303867,0.03817941870504147
65,65,0.03615629622390721,0.03754237916520293
66,66,0.035545979577748396,0.03692452199131594
67,67,0.034949392234360485,0.03631340519185646
68,68,0.03436609048624263,0.03572081763480189
69,69,0.033796586617550584,0.035136887064535424
70,70,0.03323905052993685,0.034568916169686215
71,71,0.03269796841410921,0.0340063188074515
72,72,0.03216284570071714,0.03346217465256998
73,73,0.031643525601775274,0.032930418585841253
74,74,0.031138472129976308,0.032402862389139316
75,75,0.030639968584090023,0.031886275240913545
76,76,0.030155744062454914,0.03137908872365784
77,77,0.029679139296281576,0.03089449698427338
78,78,0.02921555011243826,0.03041433291664075
79,79,0.02876443758617724,0.02994325421413476
80,80,0.028320687314346095,0.029484743645321925
81,81,0.027887022272947575,0.02903815674221491
82,82,0.027466246960562508,0.028602110959716952
83,83,0.027053680923401914,0.028175124600237793
84,84,0.026649194918062242,0.027757422769027394
85,85,0.02625685735997888,0.0273525219665762
86,86,0.025875731454607937,0.026957818132448887
87,87,0.025500706328572792,0.026571451610147085
88,88,0.025136358448149137,0.026195925007663188
89,89,0.024781447354496194,0.025831675783282142
90,90,0.02443448088838327,0.025474777513749425
91,91,0.024095855043035484,0.025129668087203287
92,92,0.023765015059354654,0.02479301078196365
93,93,0.023445400263079293,0.02446593757710738
94,94,0.02313151239311896,0.024148559714531736
95,95,0.022825088026888575,0.023837770764739686
96,96,0.022529965333292185,0.023536238488829537
97,97,0.022239964383366652,0.02324445407187983
98,98,0.021956834234644434,0.02295908170280942
99,99,0.021683029091539283,0.022682889408007733
100,100,0.021414526190031542,0.02241423583356068
101,101,0.02115573138972441,0.022153884077079487
102,102,0.020900964269241974,0.021897214549705845
103,103,0.02065342251155434,0.02165162036427932
104,104,0.0204125762907879,0.02141140397464649
105,105,0.020178970419901642,0.021177856131019395
106,106,0.01995110668396034,0.02095101590645625
107,107,0.019728712333679656,0.020731718848353814
108,108,0.019512967886481047,0.020517112071237804
109,109,0.019303220387047564,0.020307210645291035
110,110,0.019099406138995228,0.020105758085427545
111,111,0.01889894881016263,0.019911905907333917
112,112,0.018706755863424473,0.019719055072907915
113,113,0.018518189451919655,0.019530855998764238
114,114,0.01833374286531038,0.019351590493171984
115,115,0.018156873001838738,0.019176281837612278
116,116,0.017983255080184675,0.019003436366347992
117,117,0.017814013881493937,0.018837124298602365
118,118,0.017651811234365718,0.018675205300033408
119,119,0.017491647626925535,0.01851737240893049
120,120,0.017335953068913636,0.018362350328059766
121,121,0.017185204120725262,0.01821446664499057
122,122,0.017039141745988563,0.018068613738362983
123,123,0.016896292622611282,0.01792517509917397
124,124,0.016758985797833793,0.017786323277624905
125,125,0.01662346360884009,0.017650670236526972
126,126,0.016492331883900615,0.01751734315888581
127,127,0.016365294005614907,0.017390681413717395
128,128,0.016240322594166457,0.017266510596099394
129,129,0.016120978962948125,0.01714367860771465
130,130,0.016003365461334566,0.01702567030334096
131,131,0.015888852364780992,0.016909856861867738
132,132,0.01577877952685528,0.01679596791060866
133,133,0.015670955224060933,0.016684822472117056
134,134,0.015566370643245023,0.01657603623974319
135,135,0.015464116908468401,0.016471518990546826
136,136,0.015364846947915265,0.01636977835684661
137,137,0.015268436583838946,0.016268886313126805
138,138,0.015174651750235921,0.01617222993357622
139,139,0.015083797100929256,0.01607634360277274
140,140,0.014994722502568175,0.015979555147379264
141,141,0.014908774321553398,0.015890871996383428
142,142,0.014824810944838673,0.015800785900059656
143,143,0.01474254603434733,0.015713106921925964
144,144,0.014663503932754837,0.015628216688188774
