,epoch,mse_train,mse_test
126,126,0.014608709855443342,0.013626624565883278
127,127,0.014592709783895957,0.013611378221189132
128,128,0.014576821916224498,0.013596279675313572
129,129,0.014561108442968465,0.01358132227902458
130,130,0.01454547926900351,0.013566511218011432
131,131,0.014529990200142484,0.013551839361776069
132,132,0.014514645048345163,0.013537305755262146
133,133,0.014499434571160347,0.01352290550183557
134,134,0.014484347163878475,0.013508634548970711
135,135,0.01446938198911521,0.013494495047512508
136,136,0.01445454453843526,0.013480484669994033
137,137,0.014439818390326261,0.013466599846897982
138,138,0.014425188322000293,0.013452838704382453
139,139,0.014410708492006421,0.01343919845132748
140,140,0.014396323712932965,0.013425671491660376
141,141,0.01438204932740519,0.0134122665308883
142,142,0.014367903215103301,0.013398973909675945
143,143,0.014353842433203357,0.013385793799761014
